,Age,Education,StudyHours,Pass
0,18,High School,2,0
1,19,Bachelor,4,0
2,20,Master,6,1
3,21,PhD,8,1
4,22,Bachelor,5,1
5,23,Master,7,1
6,19,High School,1,0
7,20,Bachelor,3,0
8,21,Master,6,1
9,22,PhD,9,1
10,24,Bachelor,4,0
11,25,Master,7,1
12,18,High School,2,0
13,19,Bachelor,5,1
14,20,Master,6,1
15,21,PhD,10,1
16,23,Bachelor,4,1
17,24,Master,8,0
18,22,High School,2,0
19,25,PhD,9,1
20,26,Bachelor,5,1
21,27,Master,7,1
22,20,High School,3,0
23,21,Bachelor,4,0
24,22,Master,6,1
25,80,PhD,10,1
26,24,Bachelor,5,0
27,26,Master,8,1
28,70,PhD,9,1
29,28,Master,7,1
